,AC_no,AC_yes,Cooking_no,Cooking_yes,Education_College,Education_Elementary_School,Education_High_School,Education_Post_Graduate,Education_Post_Secondary,Lighting_no,Lighting_yes,Refrigeration_no,Refrigeration_yes,Size_1,Size_10,Size_2,Size_3,Size_4,Size_5,Size_6,Size_7,Size_8,Size_9,TV_no,TV_yes,Urbanity_Rural,Urbanity_Urban,age_0_18,age_19_25,age_26_35,age_36_45,age_46_55,age_56_65,age_66_75,age_76_85,age_86_100,pop,sex_female,sex_male
2020,34489.6,3824.4,37804,511,6306.92727272727,12602.8545454545,11107.9818181818,,6913.363636363641,3144,35171,25331,12984,712.436363636364,2071.30909090909,3472.1818181818203,4209.61818181818,7670.8,7693.8,2794.74545454545,4855.05454545455,3461.1818181818203,1373.8727272727301,10712,27603,,,0.0,684.436363636364,4162.61818181818,11843.4181818182,9734.10909090909,7007.363636363641,3481.1818181818203,695.436363636364,706.436363636364,,7695.8,30619.2
2021,35049.6,3877.4,38409,519,6398.92727272727,12761.8545454545,11302.9818181818,,7063.363636363641,3227,35701,25777,13151,713.436363636364,2107.30909090909,3540.1818181818203,4214.61818181818,7805.8,7765.8,2864.74545454545,4981.05454545455,3533.1818181818203,1401.8727272727301,10938,27990,,,0.0,716.436363636364,4241.61818181818,11953.4181818182,10005.1090909091,7057.363636363641,3549.1818181818203,688.436363636364,716.436363636364,,7787.8,31140.2
2022,35652.6,3897.4,39022,529,6446.92727272727,12959.8545454545,11498.9818181818,,7212.363636363641,3238,36313,26064,13487,713.436363636364,2194.30909090909,3639.1818181818203,4334.61818181818,7868.8,7888.8,2909.74545454545,5014.05454545455,3581.1818181818203,1406.8727272727301,11067,28484,,,0.0,705.436363636364,4289.61818181818,12191.4181818182,10106.1090909091,7239.363636363641,3604.1818181818203,716.436363636364,698.436363636364,,7931.8,31619.2
2023,36183.6,3999.4,39661,523,6582.92727272727,13138.8545454545,11716.9818181818,,7266.363636363641,3255,36929,26519,13665,741.436363636364,2185.30909090909,3592.1818181818203,4398.61818181818,8058.8,8000.8,2950.74545454545,5144.05454545455,3639.1818181818203,1472.8727272727301,11254,28930,,,0.0,737.436363636364,4358.61818181818,12379.4181818182,10306.1090909091,7250.363636363641,3675.1818181818203,737.436363636364,739.436363636364,,7982.8,32201.2
2024,36784.6,4041.4,40281,546,6673.92727272727,13342.8545454545,11904.9818181818,,7424.363636363641,3326,37501,26922,13905,729.436363636364,2209.30909090909,3698.1818181818203,4456.61818181818,8171.8,8182.8,2944.74545454545,5195.05454545455,3745.1818181818203,1493.8727272727301,11451,29376,,,0.0,734.436363636364,4483.61818181818,12675.4181818182,10360.1090909091,7427.363636363641,3672.1818181818203,732.436363636364,741.436363636364,,8233.8,32593.2
2025,37378.6,4100.4,40935,545,6814.92727272727,13564.8545454545,12032.9818181818,,7577.363636363641,3396,38084,27276,14204,766.436363636364,2258.30909090909,3744.1818181818203,4520.61818181818,8354.8,8328.8,3016.74545454545,5207.05454545455,3809.1818181818203,1473.8727272727301,11694,29786,,,0.0,750.436363636364,4521.61818181818,12815.4181818182,10608.1090909091,7569.363636363641,3727.1818181818203,742.436363636364,745.436363636364,,8328.8,33151.2
2026,37931.6,4211.4,41563,581,6856.92727272727,13836.8545454545,12242.9818181818,,7671.363636363641,3411,38733,27802,14342,750.436363636364,2287.30909090909,3841.1818181818203,4577.61818181818,8471.8,8414.8,3058.74545454545,5361.05454545455,3844.1818181818203,1536.8727272727301,11853,30291,,,0.0,744.436363636364,4611.61818181818,13104.4181818182,10713.1090909091,7603.363636363641,3842.1818181818203,735.436363636364,789.436363636364,,8438.8,33705.2
2027,38544.6,4272.4,42240,578,7061.92727272727,13978.8545454545,12441.9818181818,,7788.363636363641,3461,39357,28217,14601,791.436363636364,2306.30909090909,3904.1818181818203,4692.61818181818,8590.8,8522.8,3115.74545454545,5478.05454545455,3863.1818181818203,1552.8727272727301,12013,30805,,,0.0,792.436363636364,4687.61818181818,13223.4181818182,10913.1090909091,7806.363636363641,3855.1818181818203,758.436363636364,781.436363636364,,8508.8,34309.2
2028,39159.6,4342.4,42905,598,7085.92727272727,14224.8545454545,12664.9818181818,,7939.363636363641,3545,39958,28776,14727,791.436363636364,2385.30909090909,3980.1818181818203,4766.61818181818,8683.8,8667.8,3190.74545454545,5536.05454545455,3922.1818181818203,1578.8727272727301,12151,31352,,,0.0,832.436363636364,4714.61818181818,13465.4181818182,11052.1090909091,7944.363636363641,3893.1818181818203,799.436363636364,801.436363636364,,8700.8,34802.2
2029,39799.6,4398.4,43590,609,7230.92727272727,14498.8545454545,12847.9818181818,,8047.363636363641,3648,40551,29187,15012,808.436363636364,2402.30909090909,4008.1818181818203,4770.61818181818,8860.8,8849.8,3192.74545454545,5646.05454545455,4053.1818181818203,1606.8727272727301,12418,31781,,,0.0,805.436363636364,4824.61818181818,13632.4181818182,11280.1090909091,8029.363636363641,4034.1818181818203,827.436363636364,765.436363636364,,8862.8,35336.2
2030,40355.6,4549.4,44291,615,7366.92727272727,14750.8545454545,12938.9818181818,,8188.363636363641,3683,41223,29647,15259,825.436363636364,2425.30909090909,4092.1818181818203,4932.61818181818,8995.8,8980.8,3223.74545454545,5678.05454545455,4118.18181818182,1633.8727272727301,12567,32339,,,0.0,803.436363636364,4890.61818181818,13893.4181818182,11453.1090909091,8163.363636363641,4087.1818181818203,799.436363636364,815.436363636364,,9021.8,35884.2
