,Family_Size,HH_head_Sex,HH_head_Age,Education,Electricity_expenditure,Water_expenditure,Total_Family_Income,Urbanity
162,5.0,2,68,1.0,3990,5442,28664.166666666668,0
163,4.0,1,52,2.0,15060,0,33603.666666666664,0
164,5.0,1,50,1.0,0,0,12141.5,0
166,1.0,2,73,1.0,750,1110,6645.833333333333,0
167,3.0,1,37,1.0,3126,0,22118.333333333332,0
168,6.0,2,67,1.0,12900,0,37981.0,0
169,7.0,1,40,1.0,4428,0,15691.0,0
170,3.0,2,59,1.0,3870,0,16879.166666666668,0
171,7.0,1,55,2.0,17556,0,31248.666666666668,0
172,9.0,1,50,2.0,4710,0,34460.666666666664,0
173,2.0,1,76,1.0,0,0,7462.833333333333,0
174,4.0,1,35,2.0,3648,0,16388.333333333332,0
175,2.0,2,76,1.0,2142,0,11379.5,0
176,2.0,2,69,2.0,3180,0,10842.0,0
177,5.0,1,73,1.0,2454,0,30517.0,0
178,4.0,1,44,1.0,1620,0,32354.666666666668,0
179,5.0,1,38,2.0,3900,0,55420.166666666664,0
180,5.5,1,37,3.0,9600,0,24163.333333333332,1
181,5.0,2,55,2.0,1752,0,13699.833333333334,1
182,7.0,1,44,2.0,2700,0,25562.833333333332,1
183,3.0,1,47,2.0,7200,0,16272.5,1
184,5.0,1,50,2.0,4200,0,23848.666666666668,1
185,8.5,1,45,1.0,0,0,16816.333333333332,1
186,4.5,2,67,2.0,8400,0,17623.0,1
187,4.0,1,45,4.0,6600,0,20980.0,1
190,4.0,1,35,3.0,900,0,9799.5,1
193,6.5,1,54,1.0,3600,0,13576.666666666666,1
194,8.5,1,39,1.0,4200,0,30951.833333333332,1
195,4.0,1,45,2.0,5700,0,49507.5,1
196,5.0,2,69,2.0,4638,0,25651.333333333332,0
197,4.5,1,78,1.0,2040,0,16421.333333333332,1
198,5.0,1,52,1.0,600,0,7394.333333333333,1
200,5.0,2,81,1.0,3420,600,15722.666666666666,1
201,4.0,1,43,4.0,9720,600,37867.833333333336,1
202,5.5,1,39,2.0,3138,300,35625.333333333336,1
204,4.0,1,41,3.0,11700,750,36346.833333333336,1
205,2.0,1,44,4.0,6000,0,42136.0,1
206,7.0,1,58,1.0,0,0,23912.333333333332,1
208,2.0,1,38,2.0,6300,0,29100.666666666668,1
209,3.0,1,65,2.0,10140,0,25479.166666666668,1
210,4.5,1,41,1.0,2226,0,20306.666666666668,1
211,2.0,1,91,1.0,0,0,15913.0,1
212,9.0,1,55,1.0,7158,0,18497.5,1
213,4.0,1,31,2.0,0,0,8242.5,0
214,3.0,1,30,2.0,2730,0,8763.333333333334,0
215,5.0,1,71,1.0,1380,0,13699.333333333334,0
216,3.0,1,47,2.0,1560,0,10699.333333333334,0
217,3.0,1,25,2.0,270,0,7663.333333333333,0
218,4.0,1,66,4.0,2796,0,27353.333333333332,0
219,6.0,1,63,2.0,2310,0,13891.0,0
220,7.0,1,57,1.0,5562,0,17316.0,0
221,6.0,1,40,1.0,0,0,10365.166666666666,0
222,2.5,1,45,1.0,2100,0,8850.0,0
223,2.0,1,73,1.0,1440,0,6470.5,0
224,1.0,2,40,2.0,2478,0,12226.833333333334,0
225,7.0,1,30,3.0,7740,0,18416.333333333332,0
226,6.0,1,35,2.0,4260,0,12328.166666666666,0
227,7.0,1,45,2.0,2160,0,10932.166666666666,0
228,3.0,1,40,2.0,4062,0,22403.666666666668,0
229,6.5,1,56,1.0,528,0,13868.333333333334,0
230,6.5,2,77,1.0,7200,0,41728.666666666664,0
