,UF,Nome,Código
529,CE,Accioly - Guaiúba,2304954009
530,CE,Açude - Caucaia,2303709002
531,CE,Açude - Catunda,2303659002
532,CE,Açude Novo - Caridade,2303006004
533,CE,Açude Novo - Cedro,2303808005
534,CE,Açude Oriente I - Novo Oriente,2309409006
535,CE,Açude Oriente II - Novo Oriente,2309409005
536,CE,Açude Velho - Cedro,2303808008
537,CE,Açudinho - Caridade,2303006011
538,CE,Adalberto Casimiro de Farias - Missão Velha,2308401007
539,CE,Aerolândia - Fortaleza,2304400091
540,CE,Aeroporto - Poranga,2311009002
541,CE,Aeroporto - Juazeiro do Norte,2307304007
542,CE,Aeroporto (Base Aérea) - Fortaleza,2304400092
543,CE,Água Boa - Nova Russas,2309300002
544,CE,Água Santa - Tabuleiro do Norte,2313104004
545,CE,Águas Belas - Ipaporanga,2305654002
546,CE,Alagadiço - Fortaleza,2304400001
547,CE,Aldeoma - Maranguape,2307700008
548,CE,Aldeota - Ipu,2305803001
549,CE,Aldeota - Brejo Santo,2302503002
550,CE,Aldeota - Fortaleza,2304400002
551,CE,Alecrim - Uruoca,2313906006
552,CE,Alípios - Alto Santo,2300705002
553,CE,Aloísio Diógenes - Jaguaribe,2306900002
554,CE,Altamira - Crateús,2304103017
555,CE,Alto Alegre - Itapipoca,2306405001
556,CE,Alto Alegre - Maracanaú,2307650026
557,CE,Alto Alegre - Forquilha,2304350005
558,CE,Alto Alegre I - Maracanaú,2307650031
559,CE,Alto Alegre II - Maracanaú,2307650032
560,CE,Alto Brasília - Sobral,2312908013
561,CE,Alto Brilhante - Tauá,2313302010
562,CE,Alto Brilhante - Quiterianópolis,2311264002
563,CE,Alto Cristo - Sobral,2312908006
564,CE,Alto da Alegria - Abaiara,2300101002
565,CE,Alto da Alegria - Barbalha,2301901007
566,CE,Alto da Balança - Fortaleza,2304400093
567,CE,Alto da Bela Vista - Ibaretama,2305266001
568,CE,Alto da Bela Vista - Caridade,2303006006
569,CE,Alto da Boa Vista - Monsenhor Tabosa,2308609004
570,CE,Alto da Boa Vista - Nova Russas,2309300006
